_id,barcode,brandCode,category,categoryCode,cpg,topBrand,name
58861c7f4e8d0d20bc42c500,511111801245,,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",False,Quaker Rice Cakes
5cc725bd166eb31bbbadccbd,511111304777,CAPE LINE,Beer Wine Spirits,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",,Cape Line
5f3e9173be37ce5a0e01b957,511111415572,TEST BRANDCODE @1597935987233,Candy & Sweets,CANDY_AND_SWEETS,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",,test brand @1597935987233
585a96b3e4b03e62d1ce0e85,511111201632,NEAR EAST,Grocery,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",,Near East
5332f6f4e4b03c9a25efd0ed,511111103868,,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",,Peace Tea
5d642dd1a3a018514994f42f,511111505150,511111505150,Magazines,,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",,Southern Living
5332f802e4b03c9a25efd16d,511111003311,,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f7ffe4b03c9a25efd16b'}}",,Light & Fit
5ef3860fbe37ce02da95b72e,511111015024,CLOROX,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,"{'$ref': 'Cogs', '$id': {'$oid': '5eebc5412455c97a877ef382'}}",,Clorox
585a9698e4b03e62d1ce0e83,511111901655,,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",False,Mountain Dew Diet
5a5e36d6e4b06ba572cf24ac,511111500018,MAY-BUD,Dairy,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",False,May-Bud
5f5bc4f1be37ce17125ac0eb,511111816614,TEST BRANDCODE @1599849713798,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f5bc4f1be37ce17125ac0e8'}}",,test brand @1599849713798
55bf8c6ce4b0d8e685c1489d,511111802563,GATORADE,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",False,Gatorade
5f358338be37ce443bf9d558,511111415299,TEST BRANDCODE @1597342520132,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f358338be37ce443bf9d557'}}",,test brand @1597342520131
5a8c3140e4b07f0a2dac8941,511111304104,GARDEN FRESH GOURMET,Grocery,,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",False,Garden Fresh Gourmet
5a5d17ede4b06ba572cf2498,511111000440,AUNT JEMIMA DRY BREAKFAST MIXES,Breakfast & Cereal,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",False,AUNT JEMIMA Dry Breakfast Mixes
5a5d23f1e4b06ba572cf24a0,511111700258,OLDE ENGLISH,Beer Wine Spirits,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",,Olde English
5f628215be37ce78e6e2efad,511111416661,TEST BRANDCODE @1600291349255,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f628214be37ce78e6e2efaa'}}",,test brand @1600291349255
58861c7e4e8d0d20bc42c4f6,511111501336,MATADOR,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",,Matador Snacks
580dff8fe4b0f32b2de21380,511111401872,,Dairy,,"{'$ref': 'Cpgs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",,DiGiorno Cheese
5d66d516a3a018093ab34725,511111305286,511111305286,Magazines,,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",,Country Home Magazine
5daf4f9ca60b87376833e360,511111105992,REESE'S PUFFS,Breakfast & Cereal,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",,Reese's® Puffs
